top - 22:18:58 up  2:54,  2 users,  load average: 0.91, 1.66, 2.62
  15669 sysadmin  20   0  423076   7736   1024 S   0.0   0.1   0:00.26 gsd-key+
  15671 sysadmin  20   0  752852  10236   2652 S   0.0   0.2   0:00.33 gsd-med+
  15673 sysadmin  20   0  534804  10184   2796 S   0.0   0.2   0:00.31 gsd-pow+
  15674 sysadmin  20   0  332296   1960    552 S   0.0   0.0   0:00.06 gsd-pri+
  15676 sysadmin  20   0  539752   1236    596 S   0.0   0.0   0:00.03 gsd-rfk+
  15677 sysadmin  20   0  318228   1120    608 S   0.0   0.0   0:00.02 gsd-scr+
  15679 sysadmin  20   0  551920   4344   2808 S   0.0   0.1   0:00.12 gsd-sha+
  15686 sysadmin  20   0  394544   1676    780 S   0.0   0.0   0:00.03 gsd-sma+
  15687 sysadmin  20   0  402360   1568    544 S   0.0   0.0   0:00.09 gsd-sou+
  15689 sysadmin  20   0  423708   7956    696 S   0.0   0.1   0:00.29 gsd-wac+
  15691 sysadmin  20   0  425420   8536    892 S   0.0   0.1   0:00.29 gsd-xse+
  15717 sysadmin  20   0  305624   1724    444 S   0.0   0.0   0:00.01 gsd-dis+
  15718 sysadmin  20   0  830380  17860   2544 S   0.0   0.3   0:00.55 evoluti+
  15760 sysadmin  20   0  899460   3896    568 S   0.0   0.1   0:00.17 evoluti+
  15763 sysadmin  20   0  471776   3796   2132 S   0.0   0.1   0:00.23 gvfs-ud+
  15821 sysadmin  20   0  397792   1580    556 S   0.0   0.0   0:00.05 goa-ide+
  15879 sysadmin  20   0  424904   3164   1244 S   0.0   0.1   0:00.02 gsd-pri+
  15881 sysadmin  20   0  318460   1040    528 S   0.0   0.0   0:00.02 gvfs-mt+
  15910 sysadmin  20   0  907896   4952    984 S   0.0   0.1   0:00.36 evoluti+
  15915 sysadmin  20   0  319428   1252    612 S   0.0   0.0   0:00.04 gvfs-gp+
  15937 sysadmin  20   0  318440    924    412 S   0.0   0.0   0:00.03 gvfs-go+
  15945 sysadmin  20   0  398044   1616    592 S   0.0   0.0   0:00.23 gvfs-af+
  15970 sysadmin  20   0 2679472   5680    572 S   0.0   0.1   0:00.19 gjs
  16133 sysadmin  20   0  245008   1040    528 S   0.0   0.0   0:00.01 gvfsd-m+
  16136 sysadmin  20   0  544376   3036   1884 S   0.0   0.0   0:00.06 gvfsd-t+
  16166 sysadmin  20   0  319128   1128    488 S   0.0   0.0   0:00.01 ibus-dc+
  16167 sysadmin  20   0  353840  11532    724 S   0.0   0.2   0:02.56 ibus-ex+
  16169 sysadmin  20   0  275552   7020    620 S   0.0   0.1   0:00.12 ibus-x11
  16173 sysadmin  20   0  319092   1120    608 S   0.0   0.0   0:00.04 ibus-po+
  16178 sysadmin  39  19  744228  21156   2492 S   0.0   0.3   0:00.58 tracker+
  16250 sysadmin  20   0  388316   2244    580 S   0.0   0.0   0:00.99 ibus-en+
  16257 sysadmin  20   0  189036  18432  13740 S   0.0   0.3   0:01.89 mozc_se+
  16270 root      20   0  395764   1328    560 S   0.0   0.0   0:00.05 ubuntu-+
  16417 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  16470 sysadmin  20   0  424200   7376    848 S   0.0   0.1   0:00.20 xdg-des+
  16495 sysadmin  20   0  591168  16604    740 S   0.0   0.3   0:00.42 seahorse
  16582 sysadmin  20   0  498096   9668   3012 S   0.0   0.2   0:00.45 update-+
  16607 sysadmin  20   0 3290912  26660   7680 S   0.0   0.4   0:08.47 gjs
  17442 sysadmin  20   0   40564   8772    452 S   0.0   0.1   0:00.08 gnome-t+
  17443 sysadmin  20   0  391496   7812    772 S   0.0   0.1   0:00.11 gnome-t+
  17447 sysadmin  20   0  849808  11716   1000 S   0.0   0.2   0:02.20 gnome-t+
  17452 sysadmin  20   0  562876   3460    816 S   0.0   0.1   0:00.20 xdg-des+
  17457 sysadmin  20   0  756076  23288   2296 S   0.0   0.4   0:00.45 xdg-des+
  17475 sysadmin  20   0   19936   1880    344 S   0.0   0.0   0:00.04 bash
  17591 root      20   0   28480   1580    380 S   0.0   0.0   0:00.13 sudo
  17592 root      20   0   28480   1712    384 S   0.0   0.0   0:00.00 sudo
  17593 root      20   0   20948    932    420 S   0.0   0.0   0:00.00 su
  17594 root      20   0   19920   1992    456 S   0.0   0.0   0:00.03 bash
  17608 root      20   0   21084    972    460 S   0.0   0.0   0:00.01 su
  17609 dev-3at+  20   0   19924   1904    368 S   0.0   0.0   0:00.01 bash
  17616 sysadmin  20   0   11.3g 322128  50396 S   0.0   5.2   1:39.12 firefox
  17624 root      20   0       0      0      0 I   0.0   0.0   0:36.47 kworker+
  17768 sysadmin  20   0   21288    600    216 S   0.0   0.0   0:00.01 crashhe+
  17855 sysadmin  20   0  228868  14360   4760 S   0.0   0.2   0:01.18 Socket +
  17879 sysadmin  20   0  295820   8868    292 S   0.0   0.1   0:00.07 forkser+
  17893 sysadmin  20   0 2451164  45516  22548 S   0.0   0.7   0:01.58 WebExte+
  17908 sysadmin  20   0  443504  14820   2664 S   0.0   0.2   0:00.13 RDD Pro+
  17927 sysadmin  20   0 2492468  74804  28512 S   0.0   1.2   0:06.18 Privile+
  18008 sysadmin  20   0 1765640   8564    912 S   0.0   0.1   0:01.58 snap
  18335 sysadmin  20   0  442980  14392   2616 S   0.0   0.2   0:00.12 Utility+
  18651 sysadmin  20   0  245436   1276    636 S   0.0   0.0   0:00.28 ibus-en+
  18816 root      20   0       0      0      0 Z   0.0   0.0   0:00.48 gdm-ses+
  18828 root       0 -20       0      0      0 I   0.0   0.0   0:00.79 kworker+
  19270 root      20   0       0      0      0 I   0.0   0.0   0:11.54 kworker+
  19294 root      20   0       0      0      0 I   0.0   0.0   0:01.73 kworker+
  19350 root      20   0       0      0      0 I   0.0   0.0   0:02.14 kworker+
  19725 ubuntu    20   0   40564  12220   4028 S   0.0   0.2   0:01.46 gnome-t+
  19743 ubuntu    20   0  391496  15684   8644 S   0.0   0.3   0:01.80 gnome-t+
  19759 ubuntu    20   0  782452  31960  19060 S   0.0   0.5   0:23.21 gnome-t+
  19772 ubuntu    20   0   19932   4348   2812 S   0.0   0.1   0:00.38 bash
  19792 ubuntu    20   0   11.3g 450460 112940 S   0.0   7.3   6:47.44 firefox
  19934 ubuntu    20   0   21288   1840   1584 S   0.0   0.0   0:00.02 crashhe+
  19992 ubuntu    20   0  295820  19944  11368 S   0.0   0.3   0:00.11 forkser+
  19995 ubuntu    20   0  309192  30280  20420 S   0.0   0.5   0:00.80 Socket +
  20043 ubuntu    20   0 2494984 107356  58256 S   0.0   1.7   0:04.03 Privile+
  20052 ubuntu    20   0  443768  33508  21080 S   0.0   0.5   0:00.25 RDD Pro+
  20085 ubuntu    20   0 1765640   9072   1164 S   0.0   0.1   0:00.27 snap
  20388 ubuntu    20   0 2452392  65368  43536 S   0.0   1.1   0:01.23 WebExte+
  20567 ubuntu    20   0  442220  31036  19376 S   0.0   0.5   0:00.08 Utility+
  20575 ubuntu    20   0 2577136 164880  56452 S   0.0   2.7   0:05.58 Isolate+
  20581 ubuntu    20   0 3478848 557188  80376 S   0.0   9.0   3:01.86 Isolate+
  20891 root      20   0   28312   5684   4532 S   0.0   0.1   0:00.30 sudo
  20892 root      20   0   28312   2256    984 S   0.0   0.0   0:00.00 sudo
  20893 root      20   0   20956   3988   3476 S   0.0   0.1   0:00.01 su
  20894 root      20   0   18872   3812   3300 S   0.0   0.1   0:00.12 bash
  21105 ubuntu    20   0 3316436 727044  66848 S   0.0  11.7   4:27.66 Isolate+
  21168 ubuntu    20   0 2749136 174840  62524 S   0.0   2.8   0:14.46 Isolate+
  21459 root      20   0       0      0      0 I   0.0   0.0   0:00.48 kworker+
  21697 ubuntu    20   0  397188   7748   6724 S   0.0   0.1   0:00.08 gvfsd-n+
  21698 ubuntu    20   0  323164   7812   6916 S   0.0   0.1   0:00.10 gvfsd-r+
  21712 ubuntu    20   0  399216   8180   7156 S   0.0   0.1   0:00.09 gvfsd-d+
  21765 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  21829 root      20   0       0      0      0 I   0.0   0.0   0:00.49 kworker+
  21941 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  21983 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  22314 root      20   0  383952  19504  16688 S   0.0   0.3   0:00.60 package+
  22590 root      20   0       0      0      0 I   0.0   0.0   0:01.00 kworker+
  22700 root      20   0       0      0      0 I   0.0   0.0   0:00.69 kworker+
  23085 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  23185 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  23358 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  23416 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
